ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
1,7Networks_LH_Vis_1,Vis_1,-1.162668569370544,-11.349120425332698,6.1248290269668356e-27,True,-1.162668569370544,0.004392323086810192,-1.162668569370544,-1.3680717705032428,-0.9716242700480093,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
13,7Networks_LH_Vis_13,Vis_13,0.15671582215621557,7.71110398785619,3.9348104532303256e-14,True,0.15671582215621557,0.0007391547767000509,0.15671582215621557,0.11626446543530354,0.19928594414571243,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
12,7Networks_LH_Vis_12,Vis_12,-0.03104165613155753,-2.460942011622558,0.01435957783127018,True,-0.03104165613155753,0.0006881353439524447,-0.03104165613155753,-0.05996789370849619,-0.00953212643261452,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
11,7Networks_LH_Vis_11,Vis_11,2.8834088062571666,14.729661408721945,9.27367971369495e-41,True,2.883408806257166,0.008953637520137147,2.8834088062571666,2.500338581001153,3.2678480879357825,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
10,7Networks_LH_Vis_10,Vis_10,-0.4005585867883495,-11.748196115697887,7.869776131127472e-30,True,-0.40055858678834955,0.0011126589414641869,-0.4005585867883495,-0.4699570838172357,-0.3409060932174168,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
9,7Networks_LH_Vis_9,Vis_9,3.6218207436338288,21.02696779652198,8.236673035881997e-77,True,3.6218207436338288,0.0064371523979234275,3.6218207436338288,3.288839028612497,3.9751463325757417,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
8,7Networks_LH_Vis_8,Vis_8,0.04594466054303178,1.2843628517035253,0.19964107164703762,True,0.04594466054303178,0.0016413473812222294,0.04594466054303178,-0.017563146346055374,0.11003916772872999,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
14,7Networks_LH_Vis_14,Vis_14,0.17289052435030128,4.569571913402906,7.58245562331338e-06,True,0.17289052435030125,0.0023555147173178817,0.17289052435030128,0.09986198453696415,0.24900107550784317,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
6,7Networks_LH_Vis_6,Vis_6,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
5,7Networks_LH_Vis_5,Vis_5,2.9887861419903747,24.788871762588663,6.438871652279203e-97,True,2.9887861419903747,0.00464417024691016,2.9887861419903747,2.7528492312493014,3.2109816673712084,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)",Vis_L
